smiles	CatalogId				IC50 (uM)
O=C(NC[C@@H]1N(C(=O)C=2c3n(nnn3)C=CC=2)CCc2c1cccc2)c1cc(C)cnc1	Z4921675438				10.84
Fc1c(O)cc(C(=O)N2[C@H](CNC(=O)c3c4c(cnc3)cccc4)CC3(C2)CCC3)cc1	Z4927220858				11.2
O=C(NC[C@H](NC(=O)c1c2c(scc2)cnc1)c1cc2c(cc1)cccc2)c1ncoc1	Z4921678803				12.13
Fc1cc2c(C(=O)NC[C@H]3N(C(=O)/C=C/c4c[nH]nc4)CCc4c3cccc4)cncc2cc1	Z4921679285				18.67
O=C(NC[C@H]1N(C(=O)c2cc(O)c(N)cc2)CC2(C1)CCC2)c1c2c(cnc1)cccc2	Z4927220853				29.57
O=C(N[C@H]1[C@H](CNC=2N=C3N(C(=O)C=2)C=CC=C3)CCC21CCC2)c1cnc2[nH]cc(C)c2c1	Z4921674023				32.73
Fc1cc2c(C(=O)NC[C@@H]3c4c(cccc4)CN(C(=O)c4c(C)noc4)C3)cncc2cc1	Z4927221642				56.78
O=C(C[C@H](C)c1occc1)N1[C@@H](CNC(=O)c2c(C)ccc3[nH]ncc23)Cc2c(cccc2)C1	Z4927218624				56.92
O=C(NC[C@H](NC(=O)c1c2c(cnc1)cccc2)c1cc2c(cc1)cccc2)c1nscc1	Z4921678708				ND
O=C(N1[C@@H]2C[C@@H]([C@H](NC(=O)C=3NC(=O)C=C([O-])C=3)CC2)C1)c1[nH]c(-c2ccccc2)cc1	Z4927220760				ND
O=C(NC[C@H](NC(=O)c1c2c(cnc1)cccc2)c1cc2c(cc1)cccc2)c1n[nH]nc1	Z4921678724				ND
O=C(N[C@@H](CNC(=O)C1=COCC1)c1cc2c(cc1)cccc2)c1c2c(cnc1)cccc2	Z4921678731				ND
O=C(NC[C@H](NC(=O)c1c2c(cnc1)cccc2)c1cc2c(cc1)cccc2)c1[nH]cnc1	Z4927221401				ND
O=C(NC[C@H](NC(=O)c1c2c(cnc1)cccc2)c1cc2c(cc1)cccc2)Cn1nncc1	Z4927221434				ND
O=C(NC[C@H](NC(=O)c1c2c(scc2)cnc1)c1cc2c(cc1)cccc2)c1scnc1	Z4921678800				ND
O=C(Cc1cc(C)cnc1)N1C[C@H]([C@H]2CN(C(=O)c3cn(-c4ncccc4)nc3)CC2)CCC1	Z4921675943				ND
O=C(N[C@H](CCCNC(=O)C1=CC(=O)NN=C1)c1ccccc1)C=1C=2C(=CC(=O)NC=2)C=CC=1	Z4921676401				ND
O=C(N1C[C@@H](N[C@@H]2N=C(c3ccccc3)Nc3c2cccc3)CC1)C=1N=C(C)NC(=O)C=1	Z4921663506				
FC(F)(C(=O)N[C@@H](CNC1=Nn2nnnc2C=C1)c1cc2c(cc1)cccc2)C(O)(C)C	Z4927220948				
O=C(NC[C@H]1N(c2n(-c3ccccc3)nnn2)Cc2c(cccc2)C1)C1=CC(=O)NC=C1	Z4927220963				
O=C(N1[C@@H]2[C@@H](Nc3nc(-c4cnccc4)nc(C)c3)C[C@H](C1)CC2)c1cnc2[nH]ccc2c1	Z4921673621				
O=C(N1[C@@H]2[C@@H](Nc3nc(-c4cnccc4)nc(C)c3)C[C@H](C1)CC2)c1cnc2[nH]cc(C)c2c1	Z4927220229				
O=C(N1C[C@H](Nc2nc(-c3cnccc3)nc3c2CCC3)CCCCC1)c1c2n(nc1)CCC2	Z4921673722				
