smiles,enamine,,
NS(=O)(=O)c1ccc(F)c(CNS(=O)(=O)c2ccccc2Cl)c1,Z1212951946,,
NS(=O)(=O)c1ccc(F)c(C(=O)NCc2ccc(F)c(Cl)c2)c1,s_22____2691242____60722,,
NS(=O)(=O)c1cccc(NC(=O)COC(=O)c2ccc(Cl)cc2)c1,s_1458____473332____485210,,
CC(=O)Nc1cccc(CNC(=O)C(=O)Nc2cccc(F)c2)c1,s_2718____870070____867030,,
NC(=O)c1ccc(F)c(NC(=O)C(=O)NCc2ccccc2)c1,Z753689648,,
O=C(CNS(=O)(=O)c1ccc(F)cc1)NNc1cc(Cl)ccc1F,EN300-10321 + EN300-344274,,
CS(=O)(=O)Nc1cc(C(=O)NNc2ccc(F)c(Cl)c2)ccc1Cl,s_22____12307762____2307144,,
NC(=O)c1cc(CNC(=O)C(=O)Nc2cc(Br)ccc2F)on1,s_2718____7686928____5176086,,
O=C(CCNS(=O)(=O)c1ccccc1F)NNc1ccc(F)cc1,s_527____396522____156172,,
O=C(CNC(=O)c1ccc(F)cc1)Nc1ccc2[nH]c(=S)[nH]c2c1,s_527____8583706____157815,,
Nc1c(NS(=O)(=O)c2ccc(Cl)cc2)cccc1S(N)(=O)=O,s_20____8348580____79184,,
O=C(NCc1nnc2c(=O)[nH]ccn12)Nc1cccc(F)c1,s_487____13029836____2441936,,
Nc1ncncc1CNC(=O)C(=O)Nc1ccc(Br)c(F)c1,s_2718____8260468____5903366,,
CN(CCNC(=O)c1ccon1)C(=O)c1c[nH]c(C(N)=O)c1,m_275592____14114776____14136078____13186430,,
O=C(O)c1cc(S(=O)(=O)Nc2ccc3oc(=O)[nH]c3c2)ccc1Cl,s_20____508346____79199,,
CSc1ccccc1S(=O)(=O)NCc1cc(S(N)(=O)=O)ccc1F,Z1765836815,,
CN(C)C(CNS(=O)(=O)c1cc(F)c(F)cc1F)c1cccc(F)c1,s_40____80724____3603542,,
CN(CCNC(=O)c1ccon1)C(=O)c1ccc2oc(=O)[nH]c2c1,m_275592____14114776____14138940____13186430,,
Nc1cc(Cl)c(Cl)cc1C(=O)NCC(=O)Nc1ccc(F)c(F)c1F,s_22____436722____14429872,,
NS(=O)(=O)c1cc(Cl)c(F)c(C(=O)NNc2ccc(F)c(F)c2)c1,s_22____13226502____7762212,,
Cc1ncc(C(=O)NCCN(C)C(=O)c2ccc(C(N)=O)[nH]2)s1,,,
CN(CCNC(=O)c1cocn1)C(=O)c1ccc(C(N)=O)nc1,m_275592____14114776____14136748____13186518,,
NC(=O)c1cc(NC(=O)C(=O)NCc2ccccc2Cl)ccc1F,s_2718____868896____868116,,
NC(=O)c1cccc(NC(=O)NC(CO)c2cc(F)ccc2F)c1,s_2430____739576____13420436,,
Cc1cc(F)c(C(=O)NCC(CO)NCc2cncs2)cc1F,,,
COc1ccc(Br)cc1NC(=O)NC(C(N)=O)c1ccc(F)cc1,s_2430____1199926____9358236,,
O=C(Nc1cc(F)ccc1F)C(=O)NC(CO)c1ccccc1,s_2718____6579688____867166,,
O=C(NCC(O)c1cccc(F)c1)C(=O)Nc1cc(Br)ccc1F,s_2718____2054222____5176086,,
O=C(Cc1cc(F)ccc1F)NCC(CO)NCc1ccns1,,,
COC(=O)c1cc(NC(=O)NC(CO)c2cccc(F)c2)ccc1F,s_2430____12912780____4969814,,
NS(=O)(=O)c1ccc(Cl)c(C(=O)NCC(O)c2cccc(F)c2)c1,s_527____2054214____282162,,
NC(=O)CC(NC(=O)Nc1cc(F)ccc1F)c1ccccc1,PV-002319641745 (racemate),,
Cc1ncccc1C(=O)NCC(CO)NCc1cc(F)ccc1F,,,
NC(=O)c1cccc(NC(=O)NC2COc3ccc(F)cc3C2)c1,s_2430____739576____10269258,,
NC(=O)c1ccc(C(=O)NCC2CCN2C(=O)c2ccns2)[nH]1,,,
Cc1cc(C(=O)NCC(CO)NCc2ccc(F)c(F)c2)ns1,,,
CN(C(=O)c1c[nH]c(C(N)=O)c1)C1CCN(C(=O)c2cocn2)C1,,,
NS(=O)(=O)c1cc(C(=O)NC(CO)c2ccc(F)cc2)ccc1Cl,,,
Cc1ccc(F)c(C(=O)NCC(CO)NCc2nccs2)c1F,,,
CC(NC(=O)Nc1cc(F)cc(S(N)(=O)=O)c1)c1ccc(Cl)cc1,s_2430____4597312____741550,,
NS(=O)(=O)c1cccc(CNCC(O)COc2ccc(Cl)cc2)c1,Z2405257559,,
NC(=O)c1cccc(S(=O)(=O)NCC(O)c2c(F)cccc2Cl)c1,,,
COc1ccc(F)cc1NC(=O)NC(CO)c1cccc(F)c1,s_2430____8157922____4969814,,
O=C(NCC(CO)NC(=O)c1ccc(F)cc1F)c1cc(F)c[nH]1,PV-001121552388,,
NC(=O)c1cccc(NC(=O)NCC(O)c2c(F)cccc2F)c1,s_2430____739576____13026036,,
CC(NC(=O)NCc1cc(S(N)(=O)=O)ccc1F)c1ccccc1Cl,s_512____15697368____158876,,
CC(CN(C)C(=O)c1ccc(C(N)=O)cn1)NC(=O)c1ccon1,m_275592____14114894____13187102____14130110,,
COC(=O)NCC(=O)N1CCC(N(C)C(=O)CN(C)C(C)=O)C1,PV-001514850338,,
COc1c(Cl)cccc1NC(=O)C(=O)NCC(O)c1ccc(F)cc1,s_2718____870488____1316394,,
CC(CN(C)C(=O)c1ccc(C(N)=O)[nH]1)NC(=O)c1ccsn1,,,
Cc1ncccc1CC(=O)NCC(CO)NCc1cccc(F)c1F,,,
Cc1cccc(C(=O)NCC(CO)NCc2ccc(F)cc2F)n1,,,
NC(=O)c1cc(NC(=O)NC(CCO)c2ccccc2F)ccc1Cl,s_2430____740766____11573154,,
NS(=O)(=O)c1cccc(NC(=O)NC2CCc3cc(F)ccc32)c1,s_2430____4597242____1317550,,
COC(=O)N1CCN(C(=O)C(=O)NC2CCC(=O)N(C)C2)CC1,s_271948____9944782____9915768,,
O=S(=O)(NC(CO)Cc1c[nH]c2ccccc12)c1ccc(Cl)cc1F,s_40____5439584____79405,,
NC(=O)c1cc(C(=O)NCC2CCCN2C(=O)c2ccncc2)c[nH]1,m_275592____14114942____13186900____14129474,,
O=S(=O)(NCC(O)c1ccc(F)cc1)c1c[nH]c2nccc(Cl)c12,s_40____5439182____7941272,,
CS(=O)(=O)Nc1cccc(C(=O)NCC(O)c2cccc(F)c2)c1,s_527____2054214____157886,,
NC(=O)c1c[nH]c(C(=O)NC2CCN(C(=O)c3cnco3)C2)c1,m_275592____14114750____14139778____14131190,,
