name,alternate_name
Mac1-UCSF-P0360_0A,ZINC000000090873
Mac1-UCSF-P0402_0A,ZINC000016989831
Mac1-UCSF-P0472_0A,ZINC000000438614
Mac1-UCSF-P0527_0A,ZINC000000311783
Mac1-UCSF-P0453_0A,ZINC388081
Mac1-UCSF-P0555_0A,ZINC000000039224
Mac1-UCSF-P1444_0A,ZINC000901381520
Mac1-UCSF-P0590_0A,ZINC000400552187_N3
Mac1-UCSF-P0433_0A,ZINC000000163774
Mac1-UCSF-P0564_0A,ZINC000008578948
Mac1-UCSF-P0564_1A,ZINC000008578948
Mac1-UCSF-P0565_0A,ZINC000000158540
Mac1-UCSF-P0568_0A,ZINC000000039575
Mac1-UCSF-P0412_0A,ZINC000000332651
Mac1-UCSF-P0572_0A,ZINC000016343276
Mac1-UCSF-P0588_1A,ZINC000082473428_N3
Mac1-UCSF-P0576_0A,ZINC000014419577
Mac1-UCSF-P1444_1A,ZINC000901381520
Mac1-UCSF-P0584_0A,ZINC000263980802
Mac1-UCSF-P0510_0A,ZINC000013517187
Mac1-DLS-X0628_0A,Z274553586
Mac1-DLS-X0855_0A,NCL-00024890
Mac1-DLS-X0950_1A,Z1741982441
Mac1-DLS-X0727_0A,Z1238477790
Mac1-DLS-X0465_0A,Z65532537
Mac1-DLS-X0950_0A,Z1741982441
Mac1-DLS-X0685_1A,CHES
Mac1-DLS-X1012_0A,SF048
Mac1-DLS-X1015_0A,SF051
Mac1-DLS-X0253_0A,Z56827661
Mac1-DLS-X0864_0A,NCL-00024773
Mac1-UCSF-P0255_0A,ZINC000039281982
Mac1-UCSF-P0226_0A,ZINC000004218283
Mac1-UCSF-P0223_0A,ZINC000000388262
Mac1-UCSF-P0231_0A,ZINC000008652361
Mac1-UCSF-P0524_0A,TFA
Mac1-UCSF-P0326_0A,ZINC000004219237
Mac1-UCSF-P0357_0A,ZINC000001698894
Mac1-UCSF-P0546_0A,ZINC000000057162
Mac1-UCSF-P0277_0A,ZINC000000156509
Mac1-UCSF-P0348_0A,ZINC000000873830
Mac1-UCSF-P0344_0A,ZINC000001679336
Mac1-UCSF-P0587_0A,ZINC000736709772
Mac1-UCSF-P0305_0A,ZINC000000157108
Mac1-UCSF-P0213_0A,ZINC000000337835
Mac1-UCSF-P0319_0A,ZINC000000395673
Mac1-UCSF-P0357_1A,ZINC000001698894
Mac1-UCSF-P0354_0A,ZINC000000159056
Mac1-UCSF-P0179_0A,ZINC000000064576
Mac1-UCSF-P0182_0A,ZINC000002560357
