crystal_id,site_number
Mac1-UCSF-P0223_0A,2
Mac1-UCSF-P0231_0A,2
Mac1-UCSF-P0524_0A,2
Mac1-UCSF-P0326_0A,2
Mac1-UCSF-P0357_0A,2
Mac1-UCSF-P0546_0A,2
Mac1-UCSF-P0277_0A,2
Mac1-UCSF-P0348_0A,2
Mac1-UCSF-P0344_0A,2
Mac1-UCSF-P0587_0A,2
Mac1-UCSF-P0305_0A,2
Mac1-UCSF-P0213_0A,2
Mac1-UCSF-P0319_0A,2
Mac1-UCSF-P0357_1A:ZINC000001698894,2
Mac1-UCSF-P0354_0A,2
Mac1-UCSF-P0179_0A,2
Mac1-UCSF-P0182_0A,2
Mac1-UCSF-P0404_0A,2
Mac1-UCSF-P0204_0A,2
Mac1-UCSF-P0411_0A,2
Mac1-UCSF-P0394_0A,2
Mac1-UCSF-P0358_0A,2
Mac1-UCSF-P0415_0A,2
Mac1-UCSF-P0417_0A,2
Mac1-UCSF-P0193_0A,2
Mac1-UCSF-P0188_0A,2
Mac1-UCSF-P0373_0A,2
Mac1-UCSF-P0371_0A,2
Mac1-UCSF-P0375_0A,2
Mac1-UCSF-P0178_0A,2
Mac1-UCSF-P0436_0A,2
Mac1-UCSF-P0455_0A,2
Mac1-UCSF-P0437_0A,2
Mac1-UCSF-P0439_0A,2
Mac1-UCSF-P0441_0A,2
Mac1-DLS-X0436_0B,16
Mac1-DLS-X0918_1B:Z955123498,16
Mac1-DLS-X0918_2B:Z955123498,16
Mac1-DLS-X0228_0B,16
Mac1-DLS-X0766_0B,16
Mac1-DLS-X0380_0B,16
Mac1-DLS-X0417_0B,16
Mac1-DLS-X0797_0B,16
Mac1-UCSF-P0371_0B,5
Mac1-DLS-X0962_2A:Z2301685688,11
Mac1-DLS-EU0906_0A,11
Mac1-DLS-EU0860_0A,11
Mac1-DLS-X0631_0A,11
Mac1-DLS-X0159_0B,11
Mac1-DLS-X0524_0A,11
Mac1-DLS-X0900_1A:Z940713508,11
Mac1-DLS-X0662_0A,11
Mac1-DLS-X0676_0B,11
Mac1-DLS-X0128_1A:Z44592329,11
Mac1-DLS-EU0960_0A,11
Mac1-UCSF-P0509_0A,13
Mac1-UCSF-P0522_0A,13
Mac1-UCSF-P1494_0B,8
Mac1-UCSF-P0343_0B,1
Mac1-UCSF-P0511_1B:ZINC000019685960,1
Mac1-UCSF-P0570_0A,1
Mac1-UCSF-P0444_0A,1
Mac1-UCSF-P0570_0B,1
Mac1-UCSF-P0511_0B,1
Mac1-DLS-X0516_0A,6
Mac1-DLS-X0822_0A,6
Mac1-DLS-X0598_0A,6
Mac1-DLS-X0933_1A:Z1954800348,6
Mac1-DLS-X0334_0A,6
Mac1-DLS-X0792_0A,6
Mac1-DLS-X0228_0A,6
Mac1-UCSF-C309_0A,3
Mac1-UCSF-C362_0A,3
Mac1-UCSF-C137_0A,3
Mac1-UCSF-C189_0A,3
Mac1-UCSF-C257_0A,3
Mac1-UCSF-C327_0A,3
Mac1-UCSF-C295_0A,3
Mac1-UCSF-P0582_0A,12
Mac1-UCSF-P0482_0B,12
Mac1-UCSF-P0309_0B,12
Mac1-UCSF-P0227_0A,12
Mac1-UCSF-P0378_0B,12
Mac1-DLS-X0737_0B,14
Mac1-DLS-X0933_0B,14
Mac1-DLS-X0091_0B,14
Mac1-DLS-X0158_0B,14
Mac1-DLS-X0259_0A,14
Mac1-DLS-X0301_0B,14
