"Compound ID","SMILES","Library","Shipment","Plate Name","Source Well","Lab Visit","Soak DB Entry","Sample Name","Mounting Result","Soak DB Comments","Data Collection Date","Data Collection Outcome","Resolution","Refinement Outcome","Status","Date Last Updated","Fragalysis","PDB Code","Zenodo Status","Postera Series","Rapid Fire inhibition at 50 uM","Rapid Fire avg IC50 (uM)","Fluorescence inhibition at 50 uM","Fluorescence avg IC50 (uM)","Trypsin IC50","NMR std ratio"
"LON-WEI-8f408cad-7","Cl.ClCC(=O)N1CCN(CC=2C=CSC2)CC1","MoonShot","Moonshot_shipment_2","1166137-Y4-02","G07","lb18145-153","lb18145-153-3680","","FAIL: Clear:No comment","Co-crystallisation",,"None",,,"Stopped",,,,,"piperazine-chloroacetamide",,1.13730220783606,99.437475,3.49772002955534,99,
"LON-WEI-8f408cad-8","CC(C)(C)NC(=O)C(N(C(=O)C=C)C=1C=CC(=CC1)C(C)(C)C)C=2C=CC=NC2","MoonShot","Moonshot_shipment_2","1166137-Y4-02","M07","lb18145-153","lb18145-153-3681","","FAIL: Clear:No comment","Co-crystallisation",,"None",,,"Stopped",,,,,"Ugi",16.09,,27.208785,99,,
"LON-WEI-8f408cad-9","CN(C)C=1C=CC(=CC1C)N(C(C(=O)NC(C)(C)C)C=2C=CC=NC2)C(=O)C=C","MoonShot","Moonshot_shipment_2","1166137-Y4-02","N07","lb18145-153","lb18145-153-3682","","FAIL: Clear:No comment","Co-crystallisation",,"None",,,"Stopped",,,,,"Ugi",14.385,,8.796061,,,
"LON-WEI-8f408cad-10","COC=1C=CC(NC(=O)C(N(C(=O)C=C)C=2C=CC(N(C)C)=C(C)C2)C=3C=CC=NC3)=CC1","MoonShot","Moonshot_shipment_2","1166137-Y4-02","O07","lb18145-153","lb18145-153-3683","","FAIL: Clear:No comment","Co-crystallisation",,"None",,,"Stopped",,,,,"Ugi",2.05,,7.0507175,,,
"LON-WEI-8f408cad-8","CC(C)(C)C1=CC=C(C=C1)N(C(C(NC(C)(C)C)=O)C2=CC=CN=C2)C(C=C)=O","CovLibrary","NL Follow up","NL Follow up","C18","lb18145-153","lb18145-153-3699","","FAIL: Clear:No comment","Co-crystallisation",,"None",,,"Stopped",,,,,"Ugi",16.09,,27.208785,99,,
"LON-WEI-b8d98729-31","CC(C)(C)NC(=O)C(N(C(=O)C=C)C=1C=CC=2N=CSC2C1)C=3C=CC=NC3","MoonShot","Moonshot_shipment_1","1166137-Y4-01","A05","lb18145-153","lb18145-153-3718","","FAIL: Clear:No comment","Co-crystallisation",,"None",,,"Stopped",,,,,"Ugi",,,0.77179215,,,
"LON-WEI-b8d98729-14","CN(C)C=1C=CC(=CC1C)N(C(C(=O)NC=2C=CC(Br)=CC2)C=3C=CC=NC3)C(=O)C=C","MoonShot","Moonshot_shipment_1","1166137-Y4-01","A07","lb18145-153","lb18145-153-3719","","FAIL: Clear:No comment","Co-crystallisation",,"None",,,"Stopped",,,,,"Ugi",,,3.4251835,,,
"LON-WEI-b8d98729-48","CCC=1C=CC=C(C)C1NC(=O)C(N(C(=O)C=C)C=2C=CC=3N=CSC3C2)C=4C=CC=NC4","MoonShot","Moonshot_shipment_1","1166137-Y4-01","AA06","lb18145-153","lb18145-153-3720","","FAIL: Clear:No comment","Co-crystallisation",,"None",,,"Stopped",,,,,"Ugi",,,10.6954605,,,
"LON-WEI-b8d98729-12","COC=1C=CC(NC(=O)C(N(C(=O)C=C)C=2C=CC(=CC2)S(F)(F)(F)(F)F)C=3C=CC=NC3)=CC1","MoonShot","Moonshot_shipment_1","1166137-Y4-01","AB06","lb18145-153","lb18145-153-3721","","FAIL: Clear:No comment","Co-crystallisation",,"None",,,"Stopped",,,,,"Ugi",,,30.56822,,,
"LON-WEI-b8d98729-43","COC=1C=CC(NC(=O)C(N(C(=O)C=C)C=2C=C(ON2)C(C)(C)C)C=3C=CC=NC3)=C(C)C1","MoonShot","Moonshot_shipment_1","1166137-Y4-01","AC06","lb18145-153","lb18145-153-3722","","FAIL: Clear:No comment","Co-crystallisation",,"None",,,"Stopped",,,,,"Ugi",,,23.43133,,,
